SP,Tbill3,Tbill10,Bonds
0.454874322,0.042815107,0.020108191,0.044226888
-0.082979466,0.0316,0.042038042,0.030178562
-0.23068646,0.074193867,0.074100692,0.032991067
-0.383290097,0.123447943,0.0699839,-0.074105564
0.018495327,0.126773062,0.212842459,0.377831542
0.581964662,0.064893869,0.074336913,0.191538753
-0.045109912,-0.03093415,0.04333291,0.148213579
0.430874974,-0.023260476,0.018713436,0.104870742
0.305954304,-0.008508972,0.039449761,0.102458799
-0.376595105,-0.03326194,-0.022625136,-0.078496759
0.319585221,0.021361266,0.063702348,0.114968255
0.00206127,0.013645969,0.057885814,0.094065276
-0.113105415,-0.006782799,0.046500581,0.078725444
-0.170168724,-0.04744124,-0.067907812,-0.001035305
0.07438793,-0.095381666,-0.077780469,-0.051771016
0.180164481,-0.052745326,-0.032833916,0.019583769
0.171135515,-0.012367349,0.009254812,0.048494983
0.328014451,-0.018516961,0.014965879,0.044254398
-0.15584345,-0.0746353,-0.04929909,-0.055017781
-0.080334447,-0.120540675,-0.117753149,-0.123501728
-0.018431379,-0.061700014,-0.05328659,-0.03948837
0.194626566,0.021059794,0.056892415,0.064100532
0.294014684,0.001170137,-0.006484186,0.031199147
0.146656192,-0.058804038,-0.075611122,-0.074643823
0.155179985,-0.00544382,-0.000110421,0.021137725
-0.02007889,0.010660635,0.033008331,0.007975339
0.5208982,0.006250573,0.029692294,0.058284295
0.329687535,0.020099444,-0.010600702,0.023305299
0.058256183,0.010858896,-0.037240305,-0.038194556
-0.133526888,-0.001127427,0.033437704,-0.039291456
0.399018107,-0.009328672,-0.046999101,0.036026119
0.109352567,0.023513883,-0.036207174,0.005580233
-0.011053292,0.014048706,0.100352123,0.051304069
0.252961421,0.012698501,0.009797108,0.039865947
-0.098916524,0.015559115,0.044415303,0.052338166
0.211105559,0.018959926,0.004390493,0.041730782
0.149454076,0.022391203,0.024182279,0.038337984
0.10645326,0.02327108,-0.008527966,0.01579797
-0.126059546,0.017933491,-0.001040033,-0.062713552
0.204627864,0.01492493,-0.042359568,-0.018269071
0.062750069,0.010228397,-0.009563279,0.005498574
-0.129939793,0.011419016,-0.099338156,-0.070997388
-0.021515047,0.005228796,0.103143014,-0.001782837
0.095197206,0.000380947,0.052679842,0.093090788
0.149924868,0.007748643,-0.004394509,0.078789909
-0.19293878,0.008042237,-0.023725264,-0.017515151
-0.332777924,-0.029037916,-0.081637095,-0.138990118
0.255187679,-0.03085993,-0.050739752,0.017470763
0.171036186,-0.007287765,0.096834547,0.132469896
-0.126583769,-0.011572713,-0.04893556,0.032421863
-0.0104215,-0.004112447,-0.07812381,-0.041747979
0.065300928,-0.010653984,-0.095131006,-0.119218402
0.16016005,-0.018626581,-0.145654432,-0.148524854
-0.136286295,0.033446226,-0.019354784,-0.016969459
0.134621997,0.042237598,0.25141581,0.215968311
0.185294678,0.052303708,-0.000118499,0.125777955
0.017695038,0.050066471,0.090438883,0.108519739
0.267413572,0.037988337,0.214078045,0.196213011
0.16287386,0.040042801,0.219691791,0.192226106
0.020722238,0.020358356,-0.083201713,-0.013261175
0.119712945,0.024882938,0.039834222,0.106048902
0.254211068,0.031334166,0.122741728,0.104578654
-0.080290089,0.019880587,0.007945271,0.007040961
0.249435344,0.010937213,0.103319942,0.130652203
0.043336495,0.003910039,0.061466465,0.08874639
0.068142578,0.000445258,0.109364896,0.13093385
-0.012489536,0.01597571,-0.103736099,-0.038268603
0.334513286,0.026113215,0.201111577,0.168773185
0.191873465,0.020155534,-0.014598025,0.018083918
0.300631792,0.026609388,0.074278013,0.092802537
0.263762402,0.031751002,0.131647974,0.062954531
0.182969776,0.023978379,-0.102186575,-0.013160705
-0.120033429,0.023601091,0.128446609,0.057583733
-0.142725623,0.005467123,0.026705373,0.04855749
-0.231843669,0.000162129,0.133191251,0.104264707
0.255066853,-0.012313049,-0.018527132,0.110119411
0.078552325,-0.012715314,0.017661594,0.070233563
0.013944184,-0.002380083,-0.005079825,0.014747533
0.119995206,0.014538271,-0.012254078,0.037030011
0.025590636,0.014590417,0.071531949,0.002894588
-0.388981069,-0.023826285,0.156609408,-0.085755892
0.263845943,0.005073539,-0.107995431,0.237695652
0.129683659,-0.014791153,0.067128013,0.065995668
-0.010260738,-0.0300934,0.12484383,0.091391656
0.135410352,-0.019432933,0.008839402,0.07892025
0.302373304,-0.013861913,-0.104168102,-0.024843399
0.117122039,-0.015643429,0.089783125,0.086228069
0.012587684,-0.000660516,0.011642885,-0.008151813
0.10380542,-0.009323181,-0.005639153,0.089901084
0.19069177,-0.011742636,0.006575987,0.074354095
-0.065104269,-0.004914102,-0.02400635,-0.050810983
0.280948285,-0.008712979,0.070215439,0.125796105
