Lateness,Experiment,Dusk_Date,Dawn_Date,Dusk_Hrs,Dusk_Mins,Dusk_Mins_aft_0hr,Dawn_Hrs,Dawn_Mins,Dawn_Mins_aft_0hr,Nap_Beg_Hrs,Nap_Beg_Mins,Nap_Beg_Mins_aft_0hr,Nap_End_Hrs,Nap_End_Mins,Nap_End_Mins_aft_0hr,awoke_on_time,Quasistreak,Mins Asleep
,No alarms,5/8/2020,5/9/2020,23,53,1433,28,50,1730,5,30,330,12,15,735,,,702
,No alarms,5/9/2020,5/10/2020,21,45,1305,34,40,2080,,,0,,,0,,,775
,No alarms,5/10/2020,5/11/2020,24,44,1484,30,15,1815,10,20,620,13,30,810,,,521
,No alarms,5/11/2020,5/12/2020,22,50,1370,34,30,2070,,,0,,,0,,,700
,No alarms,5/12/2020,5/13/2020,20,15,1215,31,5,1865,,,0,,,0,,,650
100,9:25 Attempts,5/13/2020,5/14/2020,22,15,1335,25,15,1515,3,30,210,10,35,635,,0,605
120,9:25 Attempts,5/14/2020,5/15/2020,22,35,1355,32,20,1940,,,0,,,0,,0,585
5,9:25 Attempts,5/15/2020,5/16/2020,20,40,1240,28,,1680,10,,600,13,,780,,0,620
235,9:25 Attempts,5/16/2020,5/17/2020,24,30,1470,33,30,2010,,,0,,,0,,0,540
-5,9:25 Attempts,5/17/2020,5/18/2020,20,30,1230,30,,1800,,,0,,,0,1,1,570
40,9:25 Attempts,5/18/2020,5/19/2020,21,15,1275,34,20,2060,,,0,,,0,,1,785
0,9:25 Attempts,5/19/2020,5/20/2020,20,35,1235,29,57,1797,,,0,,,0,1,2,562
130,9:25 Attempts,5/20/2020,5/21/2020,22,45,1365,35,,2100,,,0,,,0,,2,735
100,9:25 Attempts,5/21/2020,5/22/2020,22,15,1335,34,,2040,,,0,,,0,,2,705
20,9:25 Attempts,5/22/2020,5/23/2020,20,55,1255,35,5,2105,,,0,,,0,,2,850
195,9:25 Attempts,5/23/2020,5/24/2020,23,50,1430,30,,1800,,,0,,,0,1,3,370
228,9:25 Attempts,5/24/2020,5/25/2020,24,23,1463,35,20,2120,,,0,,,0,,3,657
15,9:25 Attempts,5/25/2020,5/26/2020,20,50,1250,30,,1800,16,,960,19,,1140,,3,730
15,9:25 Attempts,5/26/2020,5/27/2020,20,50,1250,22,50,1370,23,40,1420,30,,1800,1,4,500
50,9:25 Attempts,5/27/2020,5/28/2020,21,25,1285,33,40,2020,,,0,,,0,,4,735
185,9:25 Attempts,5/28/2020,5/29/2020,23,40,1420,30,,1800,,,0,,,0,1,5,380
305,9:25 Attempts,5/29/2020,5/30/2020,25,40,1540,33,45,2025,,,0,,,0,,5,485
115,9:25 Attempts,5/30/2020,5/31/2020,22,30,1350,35,40,2140,,,0,,,0,,5,790
265,9:25 Attempts,5/31/2020,6/1/2020,25,,1500,31,15,1875,,,0,,,0,,5,375
30,9:25 Attempts,6/1/2020,6/2/2020,21,5,1265,34,35,2075,,,0,,,0,,5,810
20,9:25 Attempts,6/2/2020,6/3/2020,20,55,1255,30,,1800,,,0,,,0,1,6,545
125,9:25 Attempts,6/3/2020,6/4/2020,22,40,1360,29,25,1765,,,0,,,0,1,7,405
385,9:25 Attempts,6/4/2020,6/5/2020,27,,1620,34,,2040,,,0,,,0,,7,420
